trial_id,response_id,game_id,kitchen_layout_id,trial_order,condition,question_type,prompt,slider_min_value,slider_max_value,slider_response,rt
29a4766a-1f14-43d8-8cd7-35899b29da92,d67b11c0-03bf-48d6-b9e8-7d895ece2d5d,2967-4c4c3772-73ee-458a-8fee-aff52aa018e0,trial_34,0,dish,intent_recipe,Which dish was this kitchen made for?,tomato,onion,96,5731.900000095367
def00f7a-9524-44c1-a9bd-da81e582ce29,74f17729-06a8-4f7a-8518-0c908352f2b8,2967-4c4c3772-73ee-458a-8fee-aff52aa018e0,trial_25,1,dish,intent_recipe,Which dish was this kitchen made for?,tomato,onion,3,2913.399999976158
fe04b49e-f681-4137-92bd-18f7b67d0c55,79301aa4-12bf-4198-a68d-f9d7ad811e98,2967-4c4c3772-73ee-458a-8fee-aff52aa018e0,trial_29,2,dish,intent_recipe,Which dish was this kitchen made for?,tomato,onion,9,3328.2000000476837
4342facd-aa53-4603-80e6-63bf4aa2c478,0bdc629e-16c9-4928-888d-54dbe56f57ac,2967-4c4c3772-73ee-458a-8fee-aff52aa018e0,trial_28,3,dish,intent_recipe,Which dish was this kitchen made for?,tomato,onion,93,5429.399999976158
fa16704d-7df3-4e86-a858-b1f3b9c81099,85afb83f-eb08-4425-b6bd-afe7553e542a,2967-4c4c3772-73ee-458a-8fee-aff52aa018e0,trial_21,4,dish,intent_recipe,Which dish was this kitchen made for?,tomato,onion,0,3415.5
bf013a72-de51-42a5-9920-4e00036fee35,8b0cfaae-0a5a-4048-8d9e-539897418822,2967-4c4c3772-73ee-458a-8fee-aff52aa018e0,trial_35,5,dish,intent_recipe,Which dish was this kitchen made for?,tomato,onion,24,17945.5
c67d043f-26d5-40c0-88d1-4e20dfbcda1d,542180fb-8c97-415e-80e6-19185d3f0c59,2967-4c4c3772-73ee-458a-8fee-aff52aa018e0,trial_23,6,dish,intent_recipe,Which dish was this kitchen made for?,tomato,onion,2,5629.199999928474
593f887f-9291-4155-a629-30b78756168d,b5a57342-e307-4311-8991-cdec375684b1,2967-4c4c3772-73ee-458a-8fee-aff52aa018e0,trial_26,7,dish,intent_recipe,Which dish was this kitchen made for?,tomato,onion,63,9281.299999952316
67a71a04-0507-43cd-8bd9-a3bfca7cd1d8,936a75c9-25da-48be-bce9-909803f5cebe,2967-4c4c3772-73ee-458a-8fee-aff52aa018e0,trial_33,8,dish,intent_recipe,Which dish was this kitchen made for?,tomato,onion,91,4347.5
5944f052-632a-463a-8865-6ec51c8faae8,423adf55-fb98-4279-8f70-fbaf591e204b,2967-4c4c3772-73ee-458a-8fee-aff52aa018e0,trial_30,9,dish,intent_recipe,Which dish was this kitchen made for?,tomato,onion,88,6213.399999976158
