trial_id,game_id,trial_num,block_num,trial_num_in_block,config_filename,dish,floor_plan,final_layout,furniture_placed,total_placed,placements,undo_count,redo_count,reset_count,rt,actions,design_space,design_intent
9ea49cb3-212e-452f-908a-09b81601fe45,7819-72f9a158-5153-4fce-8fdd-dcfa79d9b393,0.0,0.0,0.0,9ea49cb3-212e-452f-908a-09b81601fe45.json,SaladOL,"-----T-
-     -
p     -
/     1
L     -
*     -
-----O-","-----T-
-     -
p --  -
/ --  1
L --  -
*     -
-----O-","[{""name"":""Table"",""initial_count"":1,""placed_count"":1}]",1.0,"[{""furniture_name"":""Table"",""location"":{""x"":2,""y"":2},""width"":2,""height"":3}]",0.0,0.0,0.0,35958.200000047684,"[{""action_index"":0,""timestamp"":272995,""action"":""place"",""furniture"":""Table"",""location"":{""x"":2,""y"":3}},{""action_index"":1,""timestamp"":294945.5,""action"":""remove"",""furniture"":""Table"",""location"":{""x"":2,""y"":3}},{""action_index"":2,""timestamp"":295113.39999997616,""action"":""place"",""furniture"":""Table"",""location"":{""x"":2,""y"":3}},{""action_index"":3,""timestamp"":297261,""action"":""remove"",""furniture"":""Table"",""location"":{""x"":2,""y"":3}},{""action_index"":4,""timestamp"":299288.7000000477,""action"":""place"",""furniture"":""Table"",""location"":{""x"":2,""y"":2}}]","{""furniture"":[{""grid"":[[""-"",""-""],[""-"",""-""],[""-"",""-""]],""id"":""0_on_table__9ea49cb3-212e-452f-908a-09b81601fe45"",""name"":""Table"",""count"":1,""must_place_all"":true}]}","
    <div style=""padding: 4px;"">
      <img src=""assets/trials/intent_TomatoSalad.png"" width=""220"">
      <p style=""margin-top: 0px; margin-bottom: 0px;""><strong>Tomato Salad</strong></p>
    </div>
    <div style=""border: 3px solid #4CAF50; padding: 4px; border-radius: 4px;"">
      <img src=""assets/trials/intent_OnionSalad.png"" width=""220"">
      <p style=""margin-top: 0px; margin-bottom: 0px;""><strong>Onion Salad</strong></p>
    </div>
  "
9869c018-45e4-4d69-80fb-dc3e7ac8cb03,7819-72f9a158-5153-4fce-8fdd-dcfa79d9b393,1.0,0.0,1.0,9869c018-45e4-4d69-80fb-dc3e7ac8cb03.json,Salad,"-T-----
L     -
-     -
*     -
1     -
-     -
-O-----","-T-----
L     -
- /P  -
* --  -
1 --  -
-     -
-O-----","[{""name"":""Table"",""initial_count"":1,""placed_count"":1}]",1.0,"[{""furniture_name"":""Table"",""location"":{""x"":2,""y"":2},""width"":2,""height"":3}]",0.0,0.0,0.0,11250.5,"[{""action_index"":0,""timestamp"":307374.2000000477,""action"":""place"",""furniture"":""Table"",""location"":{""x"":2,""y"":2}},{""action_index"":1,""timestamp"":309911.7000000477,""action"":""remove"",""furniture"":""Table"",""location"":{""x"":2,""y"":2}},{""action_index"":2,""timestamp"":310239.5,""action"":""place"",""furniture"":""Table"",""location"":{""x"":2,""y"":2}}]","{""furniture"":[{""grid"":[[""/"",""p""],[""-"",""-""],[""-"",""-""]],""id"":""2_on_table__9869c018-45e4-4d69-80fb-dc3e7ac8cb03"",""name"":""Table"",""count"":1,""must_place_all"":true}]}","
    <div style=""border: 3px solid #4CAF50; padding: 4px; border-radius: 4px;"">
      <img src=""assets/trials/intent_TomatoSalad.png"" width=""220"">
      <p style=""margin-top: 0px; margin-bottom: 0px;""><strong>Tomato Salad</strong></p>
    </div>
    <div style=""padding: 4px;"">
      <img src=""assets/trials/intent_OnionSalad.png"" width=""220"">
      <p style=""margin-top: 0px; margin-bottom: 0px;""><strong>Onion Salad</strong></p>
    </div>
  "
94e306f0-ad75-49ba-b2f1-553a5ce7c9c5,7819-72f9a158-5153-4fce-8fdd-dcfa79d9b393,2.0,0.0,2.0,94e306f0-ad75-49ba-b2f1-553a5ce7c9c5.json,SaladOL,"-----1-
-     *
-     T
-     -
-     -
/     -
-L-----","-----1-
-     *
---   T
---   -
-PO   -
/     -
-L-----","[{""name"":""Table"",""initial_count"":1,""placed_count"":1}]",1.0,"[{""furniture_name"":""Table"",""location"":{""x"":1,""y"":2},""width"":2,""height"":3}]",0.0,0.0,0.0,19579.599999904633,"[{""action_index"":0,""timestamp"":328139.7999999523,""action"":""place"",""furniture"":""Table"",""location"":{""x"":1,""y"":2}}]","{""furniture"":[{""grid"":[[""-"",""-""],[""-"",""-""],[""p"",""O""]],""id"":""2_on_table__94e306f0-ad75-49ba-b2f1-553a5ce7c9c5"",""name"":""Table"",""count"":1,""must_place_all"":true}]}","
    <div style=""padding: 4px;"">
      <img src=""assets/trials/intent_TomatoSalad.png"" width=""220"">
      <p style=""margin-top: 0px; margin-bottom: 0px;""><strong>Tomato Salad</strong></p>
    </div>
    <div style=""border: 3px solid #4CAF50; padding: 4px; border-radius: 4px;"">
      <img src=""assets/trials/intent_OnionSalad.png"" width=""220"">
      <p style=""margin-top: 0px; margin-bottom: 0px;""><strong>Onion Salad</strong></p>
    </div>
  "
a3f0e9a9-0cec-4adb-855a-238beeba7bf9,7819-72f9a158-5153-4fce-8fdd-dcfa79d9b393,3.0,0.0,3.0,a3f0e9a9-0cec-4adb-855a-238beeba7bf9.json,Salad,"-------
-     -
-     -
-     -
*     1
L     p
-O---T-","-------
-     -
- --  -
- --  -
* /-  1
L     p
-O---T-","[{""name"":""Table"",""initial_count"":1,""placed_count"":1}]",1.0,"[{""furniture_name"":""Table"",""location"":{""x"":2,""y"":2},""width"":2,""height"":3}]",0.0,0.0,0.0,24224.89999997616,"[{""action_index"":0,""timestamp"":355487,""action"":""place"",""furniture"":""Table"",""location"":{""x"":2,""y"":2}}]","{""furniture"":[{""grid"":[[""-"",""-""],[""-"",""-""],[""/"",""-""]],""id"":""1_on_table__a3f0e9a9-0cec-4adb-855a-238beeba7bf9"",""name"":""Table"",""count"":1,""must_place_all"":true}]}","
    <div style=""border: 3px solid #4CAF50; padding: 4px; border-radius: 4px;"">
      <img src=""assets/trials/intent_TomatoSalad.png"" width=""220"">
      <p style=""margin-top: 0px; margin-bottom: 0px;""><strong>Tomato Salad</strong></p>
    </div>
    <div style=""padding: 4px;"">
      <img src=""assets/trials/intent_OnionSalad.png"" width=""220"">
      <p style=""margin-top: 0px; margin-bottom: 0px;""><strong>Onion Salad</strong></p>
    </div>
  "
9869c018-45e4-4d69-80fb-dc3e7ac8cb03,7819-72f9a158-5153-4fce-8fdd-dcfa79d9b393,4.0,0.0,4.0,9869c018-45e4-4d69-80fb-dc3e7ac8cb03.json,SaladOL,"-T-----
L     -
-     -
*     -
1     -
-     -
-O-----","-T-----
L     -
-     -
* /P  -
1 --  -
- --  -
-O-----","[{""name"":""Table"",""initial_count"":1,""placed_count"":1}]",1.0,"[{""furniture_name"":""Table"",""location"":{""x"":2,""y"":3},""width"":2,""height"":3}]",0.0,0.0,0.0,10978.799999952316,"[{""action_index"":0,""timestamp"":362613.2000000477,""action"":""place"",""furniture"":""Table"",""location"":{""x"":2,""y"":3}}]","{""furniture"":[{""grid"":[[""/"",""p""],[""-"",""-""],[""-"",""-""]],""id"":""2_on_table__9869c018-45e4-4d69-80fb-dc3e7ac8cb03"",""name"":""Table"",""count"":1,""must_place_all"":true}]}","
    <div style=""padding: 4px;"">
      <img src=""assets/trials/intent_TomatoSalad.png"" width=""220"">
      <p style=""margin-top: 0px; margin-bottom: 0px;""><strong>Tomato Salad</strong></p>
    </div>
    <div style=""border: 3px solid #4CAF50; padding: 4px; border-radius: 4px;"">
      <img src=""assets/trials/intent_OnionSalad.png"" width=""220"">
      <p style=""margin-top: 0px; margin-bottom: 0px;""><strong>Onion Salad</strong></p>
    </div>
  "
6be479f8-4a3f-4d97-8f06-0f301b0acd64,7819-72f9a158-5153-4fce-8fdd-dcfa79d9b393,5.0,0.0,5.0,6be479f8-4a3f-4d97-8f06-0f301b0acd64.json,SaladOL,"-1-/Lp-
O     *
-     -
-     -
-     -
-     -
-------","-1-/Lp-
O     *
-     -
-   -T-
-   ---
-   ---
-------","[{""name"":""Table"",""initial_count"":1,""placed_count"":1}]",1.0,"[{""furniture_name"":""Table"",""location"":{""x"":4,""y"":3},""width"":2,""height"":3}]",0.0,0.0,0.0,9492.200000047684,"[{""action_index"":0,""timestamp"":374861.10000002384,""action"":""place"",""furniture"":""Table"",""location"":{""x"":4,""y"":3}}]","{""furniture"":[{""grid"":[[""-"",""T""],[""-"",""-""],[""-"",""-""]],""id"":""1_on_table__6be479f8-4a3f-4d97-8f06-0f301b0acd64"",""name"":""Table"",""count"":1,""must_place_all"":true}]}","
    <div style=""padding: 4px;"">
      <img src=""assets/trials/intent_TomatoSalad.png"" width=""220"">
      <p style=""margin-top: 0px; margin-bottom: 0px;""><strong>Tomato Salad</strong></p>
    </div>
    <div style=""border: 3px solid #4CAF50; padding: 4px; border-radius: 4px;"">
      <img src=""assets/trials/intent_OnionSalad.png"" width=""220"">
      <p style=""margin-top: 0px; margin-bottom: 0px;""><strong>Onion Salad</strong></p>
    </div>
  "
b69ccfaa-7ae4-4bf8-ac1f-a0a9d5fcb40f,7819-72f9a158-5153-4fce-8fdd-dcfa79d9b393,6.0,0.0,6.0,b69ccfaa-7ae4-4bf8-ac1f-a0a9d5fcb40f.json,SaladOL,"-----1-
-     T
-     -
-     /
-     -
-     -
-p*----","-----1-
-     T
-     -
-  O- /
-  -L -
-  -- -
-p*----","[{""name"":""Table"",""initial_count"":1,""placed_count"":1}]",1.0,"[{""furniture_name"":""Table"",""location"":{""x"":3,""y"":3},""width"":2,""height"":3}]",0.0,0.0,0.0,12094.700000047684,"[{""action_index"":0,""timestamp"":388347.5,""action"":""place"",""furniture"":""Table"",""location"":{""x"":3,""y"":3}}]","{""furniture"":[{""grid"":[[""O"",""-""],[""-"",""L""],[""-"",""-""]],""id"":""2_on_table__b69ccfaa-7ae4-4bf8-ac1f-a0a9d5fcb40f"",""name"":""Table"",""count"":1,""must_place_all"":true}]}","
    <div style=""padding: 4px;"">
      <img src=""assets/trials/intent_TomatoSalad.png"" width=""220"">
      <p style=""margin-top: 0px; margin-bottom: 0px;""><strong>Tomato Salad</strong></p>
    </div>
    <div style=""border: 3px solid #4CAF50; padding: 4px; border-radius: 4px;"">
      <img src=""assets/trials/intent_OnionSalad.png"" width=""220"">
      <p style=""margin-top: 0px; margin-bottom: 0px;""><strong>Onion Salad</strong></p>
    </div>
  "
908ba92f-7e3f-40cf-a293-86847bd7f04f,7819-72f9a158-5153-4fce-8fdd-dcfa79d9b393,7.0,0.0,7.0,908ba92f-7e3f-40cf-a293-86847bd7f04f.json,SaladOL,"-/-----
*     -
-     -
-     -
-     -
-     p
-----1-","-/-----
*     -
-TL   -
---   -
--O   -
-     p
-----1-","[{""name"":""Table"",""initial_count"":1,""placed_count"":1}]",1.0,"[{""furniture_name"":""Table"",""location"":{""x"":1,""y"":2},""width"":2,""height"":3}]",0.0,0.0,0.0,19014.5,"[{""action_index"":0,""timestamp"":394073.39999997616,""action"":""place"",""furniture"":""Table"",""location"":{""x"":1,""y"":2}},{""action_index"":1,""timestamp"":399045.60000002384,""action"":""remove"",""furniture"":""Table"",""location"":{""x"":1,""y"":2}},{""action_index"":2,""timestamp"":404101.7999999523,""action"":""place"",""furniture"":""Table"",""location"":{""x"":1,""y"":2}}]","{""furniture"":[{""grid"":[[""T"",""L""],[""-"",""-""],[""-"",""O""]],""id"":""3_on_table__908ba92f-7e3f-40cf-a293-86847bd7f04f"",""name"":""Table"",""count"":1,""must_place_all"":true}]}","
    <div style=""padding: 4px;"">
      <img src=""assets/trials/intent_TomatoSalad.png"" width=""220"">
      <p style=""margin-top: 0px; margin-bottom: 0px;""><strong>Tomato Salad</strong></p>
    </div>
    <div style=""border: 3px solid #4CAF50; padding: 4px; border-radius: 4px;"">
      <img src=""assets/trials/intent_OnionSalad.png"" width=""220"">
      <p style=""margin-top: 0px; margin-bottom: 0px;""><strong>Onion Salad</strong></p>
    </div>
  "
923da982-5016-4456-980f-fe08463be1e4,7819-72f9a158-5153-4fce-8fdd-dcfa79d9b393,8.0,0.0,8.0,923da982-5016-4456-980f-fe08463be1e4.json,Salad,"-------
T     O
-     -
-     /
-     -
-     *
-1---L-","-------
T     O
-     -
-  P- /
-  -- -
-  -- *
-1---L-","[{""name"":""Table"",""initial_count"":1,""placed_count"":1}]",1.0,"[{""furniture_name"":""Table"",""location"":{""x"":3,""y"":3},""width"":2,""height"":3}]",0.0,0.0,0.0,7214.700000047684,"[{""action_index"":0,""timestamp"":414089.39999997616,""action"":""place"",""furniture"":""Table"",""location"":{""x"":3,""y"":3}}]","{""furniture"":[{""grid"":[[""p"",""-""],[""-"",""-""],[""-"",""-""]],""id"":""1_on_table__923da982-5016-4456-980f-fe08463be1e4"",""name"":""Table"",""count"":1,""must_place_all"":true}]}","
    <div style=""border: 3px solid #4CAF50; padding: 4px; border-radius: 4px;"">
      <img src=""assets/trials/intent_TomatoSalad.png"" width=""220"">
      <p style=""margin-top: 0px; margin-bottom: 0px;""><strong>Tomato Salad</strong></p>
    </div>
    <div style=""padding: 4px;"">
      <img src=""assets/trials/intent_OnionSalad.png"" width=""220"">
      <p style=""margin-top: 0px; margin-bottom: 0px;""><strong>Onion Salad</strong></p>
    </div>
  "
74b431e8-e8ca-48fd-b5b4-ab6f32563faf,7819-72f9a158-5153-4fce-8fdd-dcfa79d9b393,9.0,0.0,9.0,74b431e8-e8ca-48fd-b5b4-ab6f32563faf.json,SaladOL,"-------
-     O
-     *
-     -
T     -
-     -
---1---","-------
-     O
-  /P *
-  L- -
T  -- -
-     -
---1---","[{""name"":""Table"",""initial_count"":1,""placed_count"":1}]",1.0,"[{""furniture_name"":""Table"",""location"":{""x"":3,""y"":2},""width"":2,""height"":3}]",0.0,0.0,0.0,7422.700000047684,"[{""action_index"":0,""timestamp"":421865.60000002384,""action"":""place"",""furniture"":""Table"",""location"":{""x"":3,""y"":2}}]","{""furniture"":[{""grid"":[[""/"",""p""],[""L"",""-""],[""-"",""-""]],""id"":""3_on_table__74b431e8-e8ca-48fd-b5b4-ab6f32563faf"",""name"":""Table"",""count"":1,""must_place_all"":true}]}","
    <div style=""padding: 4px;"">
      <img src=""assets/trials/intent_TomatoSalad.png"" width=""220"">
      <p style=""margin-top: 0px; margin-bottom: 0px;""><strong>Tomato Salad</strong></p>
    </div>
    <div style=""border: 3px solid #4CAF50; padding: 4px; border-radius: 4px;"">
      <img src=""assets/trials/intent_OnionSalad.png"" width=""220"">
      <p style=""margin-top: 0px; margin-bottom: 0px;""><strong>Onion Salad</strong></p>
    </div>
  "
